Designator,Footprint,Quantity,Value
"J1, J2",PinHeader_1x01_P2.54mm_Vertical,2,HEADER_1
J3,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,1,Screw_Terminal_01x02
J4,PinHeader_1x02_P2.54mm_Vertical,1,HEADER_2
"R1, R2, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,9,1
"R10, R11, R12, R13, R14, R15, R16, R17, R18",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,9,10
"R19, R20, R21, R22, R23, R24, R25, R26, R27",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,9,100
"R28, R29, R30, R31, R32, R33, R34, R35, R36",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,9,1k
"R37, R38, R39, R40, R41, R42, R43, R44, R45",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,9,10k
"R46, R47, R48, R49, R50, R51, R52, R53, R54",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,9,100k
"R55, R56, R57, R58, R59, R60, R61, R62, R63",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,9,1M
"R64, R65, R66, R67, R68, R69, R70, R71, R72",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,9,10M
"S1, S2, S3, S4, S5, S6, S7, S8",SW_DIP_SPSTx10_Slide_9.78x27.58mm_W7.62mm_P2.54mm,8,SW_DIP_x10
